bio_db_version,3:6:0,2021.12.4
bio_db_repo_version,21:12:3,2021.12.3
edge_gont_is_a,2,70755
edge_gont_negatively_regulates,2,3089
edge_gont_part_of,2,8126
edge_gont_positively_regulates,2,3062
edge_gont_regulates,2,3552
edge_strg_hs,3,11938498
edge_strg_hs_symb,3,5085802
edge_strg_mouse,3,14496358
edge_strg_mouse_symb,3,4099916
map_ense_ensg_chrl,5,60664
map_ense_ensg_hgnc,2,40047
map_ense_ensg_symb,2,40047
map_ense_enst_chrl,5,236816
map_ense_enst_ensg,2,236816
map_ense_mouse_ensg_chrl,5,55416
map_ense_mouse_ensg_mgim,2,52377
map_ense_mouse_ensg_symb,2,55416
map_ense_mouse_enst_chrl,5,142338
map_ense_mouse_enst_ensg,2,142338
map_gont_gont_gonm,2,43791
map_gont_gont_symb,3,328427
map_gont_mouse_gont_symb,3,419947
map_gont_mouse_mgim_gont,3,419963
map_gont_symb_gont,3,328427
map_hgnc_ccds_hgnc,2,18927
map_hgnc_ensg_hgnc,2,39997
map_hgnc_entz_hgnc,2,42861
map_hgnc_entz_symb,2,42861
map_hgnc_hgnc_ccds,2,18927
map_hgnc_hgnc_chrb,2,42909
map_hgnc_hgnc_ensg,2,39997
map_hgnc_hgnc_entz,2,42861
map_hgnc_hgnc_name,2,42910
map_hgnc_hgnc_symb,2,42910
map_hgnc_prev_symb,2,15257
map_hgnc_symb_entz,2,42861
map_hgnc_symb_hgnc,2,42910
map_hgnc_syno_symb,2,42537
map_mgim_mouse_mgim_chrl,5,305940
map_mgim_mouse_mgim_entz,2,347266
map_mgim_mouse_mgim_genb,2,277165
map_mgim_mouse_mgim_symb,2,305940
map_mgim_mouse_mgim_unip,2,16921
map_mgim_mouse_symb_wdra,2,57106
map_mgim_mouse_syno_mgim,2,252980
map_ncbi_dnuc_symb,2,319353
map_ncbi_ensg_entz,2,35158
map_ncbi_ensp_entz,2,44697
map_ncbi_entz_ensg,2,35158
map_ncbi_entz_ensp,2,44697
map_ncbi_mouse_syno_symb,2,77610
map_ncbi_rnuc_symb,2,379411
map_pros_pros_prsn,2,1828
map_pros_pros_sprt,7,54369
map_unip_ensp_unip,2,115206
map_unip_hgnc_unip,2,78237
map_unip_mouse_ensp_unip,2,67082
map_unip_mouse_gyno_unip,2,26771
map_unip_mouse_mgim_unip,2,80470
map_unip_mouse_trem_nucs,2,129597
map_unip_mouse_unip_entz,2,32793
map_unip_mouse_unip_symb,2,83203
map_unip_sprt_seqn,2,20375
map_unip_trem_nucs,2,1023960
map_unip_trem_seqn,2,183336
map_unip_unip_entz,2,33249
map_unip_unip_hgnc,2,78237
